"Step","Conv-Plain-56Layers - gradients/layer3.0.conv1.weight"
"9","{""_type"":""histogram"",""values"":[2,0,1,0,0,0,2,0,1,0,0,2,3,2,5,3,3,1,2,9,6,10,15,23,46,46,86,265,1447,13038,1943,641,360,140,78,47,49,36,10,8,2,11,5,4,5,6,6,7,8,6,4,4,5,5,4,6,4,0,3,2,3,0,0,2],""bins"":[-0.004774692002683878,-0.004613225661159959,-0.0044517593196360394,-0.00429029297811212,-0.004128826636588201,-0.003967360295064282,-0.0038058939535403624,-0.003644427612016443,-0.003482961270492524,-0.0033214949289686047,-0.0031600285874446854,-0.002998562245920766,-0.002837095904396847,-0.0026756295628729276,-0.0025141632213490084,-0.002352696879825089,-0.00219123053830117,-0.0020297641967772506,-0.0018682978552533314,-0.0017068315137294121,-0.0015453651722054929,-0.0013838988306815736,-0.0012224324891576543,-0.001060966147633735,-0.0008994998061098158,-0.0007380334645858966,-0.0005765671230619773,-0.00041510078153805807,-0.0002536344400141388,-0.00009216809849021956,0.00006929824303369969,0.00023076458455761895,0.0003922309260815382,0.0005536972676054575,0.0007151636091293767,0.000876629950653296,0.0010380962921772152,0.0011995626337011345,0.0013610289752250537,0.001522495316748973,0.0016839616582728922,0.0018454279997968115,0.0020068943413207307,0.00216836068284465,0.0023298270243685693,0.0024912933658924885,0.0026527597074164078,0.002814226048940327,0.0029756923904642463,0.0031371587319881655,0.0032986250735120848,0.003460091415036004,0.0036215577565599233,0.0037830240980838425,0.003944490439607762,0.004105956781131681,0.0042674231226556,0.0044288894641795196,0.004590355805703439,0.004751822147227358,0.004913288488751277,0.005074754830275197,0.005236221171799116,0.005397687513323035,0.005559153854846954]}"
"19","{""_type"":""histogram"",""values"":[1,1,3,4,2,0,8,2,9,21,14,16,15,14,9,11,4,8,6,7,7,5,29,51,77,136,266,371,710,1814,6896,4829,1407,699,292,162,139,128,45,27,23,20,7,4,7,8,4,9,7,12,8,18,15,17,19,5,1,2,0,0,0,0,0,1],""bins"":[-0.0042492602951824665,-0.004111385773285292,-0.003973511251388118,-0.0038356367294909433,-0.003697762207593769,-0.0035598876856965944,-0.00342201316379942,-0.0032841386419022456,-0.003146264120005071,-0.0030083895981078967,-0.0028705150762107223,-0.002732640554313548,-0.0025947660324163735,-0.002456891510519199,-0.0023190169886220247,-0.0021811424667248502,-0.002043267944827676,-0.0019053934229305014,-0.001767518901033327,-0.0016296443791361526,-0.0014917698572389781,-0.0013538953353418037,-0.0012160208134446293,-0.001078146291547455,-0.0009402717696502805,-0.0008023972477531061,-0.0006645227258559316,-0.0005266482039587572,-0.0003887736820615828,-0.0002508991601644084,-0.00011302463826723397,0.00002484988362994045,0.00016272440552711487,0.0003005989274242893,0.0004384734493214637,0.0005763479712186381,0.0007142224931158125,0.000852097015012987,0.0009899715369101614,0.0011278460588073358,0.0012657205807045102,0.0014035951026016846,0.001541469624498859,0.0016793441463960335,0.0018172186682932079,0.0019550931901903823,0.0020929677120875567,0.002230842233984731,0.0023687167558819056,0.00250659127777908,0.0026444657996762544,0.002782340321573429,0.0029202148434706032,0.0030580893653677776,0.003195963887264952,0.0033338384091621265,0.003471712931059301,0.0036095874529564753,0.0037474619748536497,0.003885336496750824,0.004023211018647999,0.004161085540545173,0.004298960062442347,0.004436834584339522,0.004574709106236696]}"
"28","{""_type"":""histogram"",""values"":[1,0,3,0,0,0,1,1,1,0,0,2,2,7,5,7,10,16,35,59,105,183,278,405,694,1189,4259,6872,1849,787,447,299,205,133,98,97,79,70,70,32,20,18,17,8,6,7,4,6,7,4,7,3,4,2,2,4,2,2,2,2,1,2,0,1],""bins"":[-0.002860089996829629,-0.002754990378889488,-0.002649890760949347,-0.0025447911430092063,-0.0024396915250690654,-0.0023345919071289245,-0.0022294922891887836,-0.0021243926712486427,-0.002019293053308502,-0.001914193435368361,-0.00180909381742822,-0.0017039941994880792,-0.0015988945815479383,-0.0014937949636077974,-0.0013886953456676565,-0.0012835957277275156,-0.0011784961097873747,-0.0010733964918472338,-0.000968296873907093,-0.0008631972559669521,-0.0007580976380268112,-0.0006529980200866703,-0.0005478984021465294,-0.0004427987842063885,-0.00033769916626624763,-0.00023259954832610674,-0.00012749993038596585,-0.000022400312445824966,0.00008269930549431592,0.0001877989234344568,0.0002928985413745977,0.0003979981593147386,0.0005030977772548795,0.0006081973951950204,0.0007132970131351613,0.0008183966310753021,0.000923496249015443,0.001028595866955584,0.0011336954848957248,0.0012387951028358657,0.0013438947207760066,0.0014489943387161475,0.0015540939566562884,0.0016591935745964292,0.0017642931925365701,0.001869392810476711,0.001974492428416852,0.002079592046356993,0.0021846916642971337,0.0022897912822372746,0.0023948909001774155,0.0024999905181175563,0.0026050901360576972,0.002710189753997838,0.002815289371937979,0.00292038898987812,0.003025488607818261,0.0031305882257584017,0.0032356878436985426,0.0033407874616386835,0.0034458870795788243,0.0035509866975189652,0.003656086315459106,0.003761185933399247,0.003866285551339388]}"
"38","{""values"":[1,0,0,0,0,0,2,0,0,0,0,2,0,2,0,9,3,8,16,21,41,63,50,63,74,85,85,126,183,252,415,571,844,1496,3678,4605,1892,1064,653,414,385,253,198,144,155,111,108,83,52,44,38,29,20,18,22,12,12,12,5,5,4,0,0,4],""_type"":""histogram"",""bins"":[-0.002377757104113698,-0.002310526109795319,-0.00224329511547694,-0.0021760641211585607,-0.0021088331268401816,-0.0020416021325218026,-0.0019743711382034235,-0.0019071401438850444,-0.0018399091495666653,-0.0017726781552482862,-0.0017054471609299071,-0.001638216166611528,-0.001570985172293149,-0.0015037541779747698,-0.0014365231836563908,-0.0013692921893380117,-0.0013020611950196326,-0.0012348302007012535,-0.0011675992063828744,-0.0011003682120644953,-0.0010331372177461162,-0.0009659062234277371,-0.000898675229109358,-0.000831444234790979,-0.0007642132404725999,-0.0006969822461542208,-0.0006297512518358417,-0.0005625202575174626,-0.0004952892631990835,-0.0004280582688807044,-0.00036082727456232533,-0.00029359628024394624,-0.00022636528592556715,-0.00015913429160718806,-0.00009190329728880897,-0.000024672302970429882,0.00004255869134794921,0.0001097896856663283,0.00017702067998470739,0.0002442516743030865,0.00031148266862146556,0.00037871366293984465,0.00044594465725822374,0.0005131756515766028,0.0005804066458949819,0.000647637640213361,0.0007148686345317401,0.0007820996288501192,0.0008493306231684983,0.0009165616174868774,0.0009837926118052565,0.0010510236061236355,0.0011182546004420146,0.0011854855947603937,0.0012527165890787728,0.001319947583397152,0.001387178577715531,0.00145440957203391,0.0015216405663522892,0.0015888715606706683,0.0016561025549890473,0.0017233335493074264,0.0017905645436258055,0.0018577955379441846,0.0019250265322625637]}"
"47","{""_type"":""histogram"",""values"":[2,2,2,0,0,4,9,4,4,6,6,13,10,18,20,28,52,56,79,97,129,141,172,222,384,731,1058,2175,3925,3984,1911,941,562,400,291,223,181,127,115,60,64,49,37,23,24,16,18,15,16,6,5,3,2,3,0,3,0,2,1,0,0,0,0,1],""bins"":[-0.002713093301281333,-0.002618400758365169,-0.0025237082154490054,-0.0024290156725328416,-0.0023343231296166778,-0.002239630586700514,-0.00214493804378435,-0.0020502455008681864,-0.0019555529579520226,-0.0018608604150358588,-0.001766167872119695,-0.0016714753292035311,-0.0015767827862873673,-0.0014820902433712035,-0.0013873977004550397,-0.001292705157538876,-0.0011980126146227121,-0.0011033200717065483,-0.0010086275287903845,-0.0009139349858742207,-0.0008192424429580569,-0.0007245499000418931,-0.0006298573571257293,-0.0005351648142095655,-0.0004404722712934017,-0.0003457797283772379,-0.0002510871854610741,-0.0001563946425449103,-0.00006170209962874651,0.00003299044328741729,0.0001276829862035811,0.0002223755291197449,0.0003170680720359087,0.0004117606149520725,0.0005064531578682363,0.0006011457007844001,0.0006958382437005639,0.0007905307866167277,0.0008852233295328915,0.0009799158724490553,0.0010746084153652191,0.001169300958281383,0.0012639935011975467,0.0013586860441137105,0.0014533785870298743,0.0015480711299460381,0.001642763672862202,0.0017374562157783657,0.0018321487586945295,0.0019268413016106933,0.002021533844526857,0.002116226387443021,0.0022109189303591847,0.0023056114732753485,0.0024003040161915123,0.002494996559107676,0.00258968910202384,0.0026843816449400038,0.0027790741878561676,0.0028737667307723314,0.002968459273688495,0.003063151816604659,0.0031578443595208228,0.0032525369024369866,0.0033472294453531504]}"
"56","{""_type"":""histogram"",""values"":[2,1,4,5,10,6,18,14,16,26,41,31,43,42,74,82,104,131,179,238,276,307,431,713,1066,1675,3114,3396,2353,1302,822,551,345,259,150,122,70,62,47,48,34,43,42,41,24,19,12,12,9,5,1,3,2,1,2,1,1,1,0,0,1,0,0,2],""bins"":[-0.001881953445263207,-0.0018131200104107847,-0.0017442865755583625,-0.0016754531407059403,-0.001606619705853518,-0.0015377862710010959,-0.0014689528361486737,-0.0014001194012962515,-0.0013312859664438292,-0.001262452531591407,-0.0011936190967389848,-0.0011247856618865626,-0.0010559522270341404,-0.0009871187921817182,-0.000918285357329296,-0.0008494519224768737,-0.0007806184876244515,-0.0007117850527720293,-0.0006429516179196071,-0.0005741181830671849,-0.0005052847482147627,-0.00043645131336234044,-0.00036761787850991823,-0.000298784443657496,-0.0002299510088050738,-0.00016111757395265158,-0.00009228413910022937,-0.000023450704247807153,0.00004538273060461506,0.00011421616545703728,0.0001830496003094595,0.0002518830351618817,0.0003207164700143039,0.00038954990486672614,0.00045838333971914835,0.0005272167745715706,0.0005960502094239928,0.000664883644276415,0.0007337170791288372,0.0008025505139812594,0.0008713839488336816,0.0009402173836861039,0.001009050818538526,0.0010778842533909483,0.0011467176882433705,0.0012155511230957927,0.001284384557948215,0.0013532179928006371,0.0014220514276530594,0.0014908848625054816,0.0015597182973579038,0.001628551732210326,0.0016973851670627482,0.0017662186019151704,0.0018350520367675927,0.0019038854716200149,0.001972718906472437,0.0020415523413248593,0.0021103857761772815,0.0021792192110297037,0.002248052645882126,0.002316886080734548,0.0023857195155869704,0.0024545529504393926,0.002523386385291815]}"
"65","{""_type"":""histogram"",""values"":[6,3,5,2,7,11,5,8,19,20,23,18,27,44,54,54,73,75,128,167,228,319,375,486,793,1303,1965,3004,2642,1849,1359,786,499,350,278,243,188,176,152,131,100,64,76,50,46,30,37,36,24,18,22,13,3,9,5,5,2,2,2,2,5,2,1,3],""bins"":[-0.0024497676640748978,-0.002361679155001184,-0.00227359064592747,-0.0021855021368537564,-0.0020974136277800426,-0.002009325118706329,-0.001921236609632615,-0.0018331481005589012,-0.0017450595914851874,-0.0016569710824114736,-0.0015688825733377598,-0.001480794064264046,-0.0013927055551903322,-0.0013046170461166184,-0.0012165285370429046,-0.0011284400279691909,-0.001040351518895477,-0.0009522630098217633,-0.0008641745007480495,-0.0007760859916743357,-0.0006879974826006219,-0.0005999089735269081,-0.0005118204644531943,-0.0004237319553794805,-0.0003356434463057667,-0.0002475549372320529,-0.0001594664281583391,-0.00007137791908462532,0.000016710589989088476,0.00010479909906280227,0.00019288760813651606,0.00028097611721022986,0.00036906462628394365,0.00045715313535765745,0.0005452416444313712,0.000633330153505085,0.0007214186625787988,0.0008095071716525126,0.0008975956807262264,0.0009856841897999402,0.001073772698873654,0.0011618612079473678,0.0012499497170210816,0.0013380382260947954,0.0014261267351685092,0.001514215244242223,0.0016023037533159368,0.0016903922623896506,0.0017784807714633644,0.0018665692805370782,0.001954657789610792,0.0020427462986845057,0.0021308348077582195,0.0022189233168319333,0.002307011825905647,0.002395100334979361,0.0024831888440530747,0.0025712773531267885,0.0026593658622005023,0.002747454371274216,0.00283554288034793,0.0029236313894216437,0.0030117198984953575,0.0030998084075690713,0.003187896916642785]}"
"75","{""_type"":""histogram"",""values"":[3,4,7,7,14,24,35,34,48,63,79,105,135,161,217,268,437,648,921,1272,1705,2530,2477,1879,1275,1093,799,608,405,281,228,155,127,71,68,34,36,29,30,23,18,12,8,7,12,6,4,3,3,2,1,1,2,2,0,2,1,3,0,4,1,1,2,2],""bins"":[-0.0031441105529665947,-0.003004332451382652,-0.002864554349798709,-0.0027247762482147664,-0.0025849981466308236,-0.002445220045046881,-0.002305441943462938,-0.0021656638418789953,-0.0020258857402950525,-0.0018861076387111098,-0.001746329537127167,-0.0016065514355432242,-0.0014667733339592814,-0.0013269952323753387,-0.001187217130791396,-0.0010474390292074531,-0.0009076609276235104,-0.0007678828260395676,-0.0006281047244556248,-0.000488326622871682,-0.0003485485212877393,-0.0002087704197037965,-0.00006899231811985373,0.00007078578346408904,0.0002105638850480318,0.0003503419866319746,0.0004901200882159173,0.0006298981897998601,0.0007696762913838029,0.0009094543929677457,0.0010492324945516884,0.0011890105961356312,0.001328788697719574,0.0014685667993035167,0.0016083449008874595,0.0017481230024714023,0.001887901104055345,0.002027679205639288,0.0021674573072232306,0.0023072354088071734,0.002447013510391116,0.002586791611975059,0.0027265697135590017,0.0028663478151429445,0.0030061259167268872,0.00314590401831083,0.0032856821198947728,0.0034254602214787155,0.0035652383230626583,0.003705016424646601,0.003844794526230544,0.003984572627814487,0.004124350729398429,0.004264128830982372,0.004403906932566315,0.004543685034150258,0.0046834631357342005,0.004823241237318143,0.004963019338902086,0.005102797440486029,0.0052425755420699716,0.005382353643653914,0.005522131745237857,0.0056619098468218,0.005801687948405743]}"
"84","{""values"":[2,3,2,4,2,2,7,5,13,14,7,10,16,14,31,40,42,50,75,84,137,155,213,288,390,484,681,928,1379,1759,2217,2356,1755,1200,879,682,529,440,315,267,223,179,156,101,64,63,47,23,29,19,13,11,7,5,3,3,4,1,1,0,1,0,0,2],""_type"":""histogram"",""bins"":[-0.001881483942270279,-0.0018208287729066797,-0.0017601736035430804,-0.0016995184341794811,-0.0016388632648158818,-0.0015782080954522826,-0.0015175529260886833,-0.001456897756725084,-0.0013962425873614848,-0.0013355874179978855,-0.0012749322486342862,-0.001214277079270687,-0.0011536219099070877,-0.0010929667405434884,-0.0010323115711798891,-0.0009716564018162899,-0.0009110012324526906,-0.0008503460630890913,-0.0007896908937254921,-0.0007290357243618928,-0.0006683805549982935,-0.0006077253856346942,-0.000547070216271095,-0.0004864150469074957,-0.00042575987754389644,-0.00036510470818029717,-0.0003044495388166979,-0.00024379436945309862,-0.00018313920008949935,-0.00012248403072590008,-0.00006182886136230081,-0.0000011736919987015426,0.00005948147736489773,0.000120136646728497,0.00018079181609209627,0.00024144698545569554,0.0003021021548192948,0.0003627573241828941,0.00042341249354649335,0.0004840676629100926,0.0005447228322736919,0.0006053780016372912,0.0006660331710008904,0.0007266883403644897,0.000787343509728089,0.0008479986790916882,0.0009086538484552875,0.0009693090178188868,0.001029964187182486,0.0010906193565460853,0.0011512745259096846,0.0012119296952732839,0.0012725848646368831,0.0013332400340004824,0.0013938952033640817,0.001454550372727681,0.0015152055420912802,0.0015758607114548795,0.0016365158808184788,0.001697171050182078,0.0017578262195456773,0.0018184813889092766,0.0018791365582728758,0.0019397917276364751,0.0020004468970000744]}"
"93","{""values"":[1,2,0,1,2,3,4,6,8,15,21,24,26,24,27,49,68,78,107,143,168,240,294,391,471,598,890,1125,1428,1681,1907,1804,1542,1213,883,688,586,403,340,254,204,172,139,109,70,65,27,25,19,20,14,17,6,9,5,3,4,1,2,3,0,0,1,2],""_type"":""histogram"",""bins"":[-0.0021008180920034647,-0.002032281849096762,-0.0019637456061900593,-0.0018952093632833567,-0.001826673120376654,-0.0017581368774699513,-0.0016896006345632486,-0.001621064391656546,-0.0015525281487498432,-0.0014839919058431406,-0.0014154556629364379,-0.0013469194200297352,-0.0012783831771230325,-0.0012098469342163298,-0.0011413106913096271,-0.0010727744484029245,-0.0010042382054962218,-0.0009357019625895191,-0.0008671657196828164,-0.0007986294767761137,-0.000730093233869411,-0.0006615569909627084,-0.0005930207480560057,-0.000524484505149303,-0.0004559482622426003,-0.00038741201933589764,-0.00031887577642919496,-0.0002503395335224923,-0.0001818032906157896,-0.00011326704770908691,-0.00004473080480238423,0.000023805438104318455,0.00009234168101102114,0.00016087792391772382,0.0002294141668244265,0.0002979504097311292,0.00036648665263783187,0.00043502289554453455,0.0005035591384512372,0.0005720953813579399,0.0006406316242646426,0.0007091678671713453,0.000777704110078048,0.0008462403529847506,0.0009147765958914533,0.000983312838798156,0.0010518490817048587,0.0011203853246115614,0.001188921567518264,0.0012574578104249667,0.0013259940533316694,0.001394530296238372,0.0014630665391450748,0.0015316027820517775,0.0016001390249584801,0.0016686752678651828,0.0017372115107718855,0.0018057477536785882,0.0018742839965852909,0.0019428202394919936,0.0020113564823986962,0.002079892725305399,0.0021484289682121016,0.0022169652111188043,0.002285501454025507]}"
