"Step","Conv-Residual-56Layers - gradients/layer3.0.conv1.weight"
"9","{""_type"":""histogram"",""values"":[3,2,1,5,7,24,33,51,110,245,410,943,2916,10937,1326,513,230,137,105,71,67,45,28,30,22,20,15,10,10,13,9,10,6,10,5,5,7,6,9,5,3,5,3,2,3,4,2,2,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1],""bins"":[-0.000547797535546124,-0.000506351205331157,-0.00046490487511618994,-0.0004234585449012229,-0.0003820122146862559,-0.0003405658844712889,-0.00029911955425632186,-0.00025767322404135484,-0.00021622689382638782,-0.0001747805636114208,-0.00013333423339645378,-0.00009188790318148676,-0.00005044157296651974,-0.000008995242751552723,0.000032451087463414297,0.00007389741767838132,0.00011534374789334834,0.00015679007810831536,0.00019823640832328238,0.0002396827385382494,0.0002811290687532164,0.00032257539896818344,0.00036402172918315046,0.0004054680593981175,0.0004469143896130845,0.0004883607198280515,0.0005298070500430185,0.0005712533802579856,0.0006126997104729526,0.0006541460406879196,0.0006955923709028866,0.0007370387011178536,0.0007784850313328207,0.0008199313615477877,0.0008613776917627547,0.0009028240219777217,0.0009442703521926887,0.0009857166824076558,0.0010271630126226228,0.0010686093428375898,0.0011100556730525568,0.0011515020032675238,0.0011929483334824909,0.0012343946636974579,0.001275840993912425,0.001317287324127392,0.001358733654342359,0.001400179984557326,0.001441626314772293,0.00148307264498726,0.001524518975202227,0.001565965305417194,0.001607411635632161,0.001648857965847128,0.001690304296062095,0.0017317506262770621,0.0017731969564920291,0.0018146432867069962,0.0018560896169219632,0.0018975359471369302,0.0019389822773518972,0.0019804286075668642,0.0020218749377818312,0.0020633212679967983,0.0021047675982117653]}"
"19","{""values"":[2,1,2,4,3,3,5,12,14,19,22,33,29,34,53,57,106,229,575,1411,10091,2659,1011,588,348,284,200,146,112,84,72,37,43,24,14,12,15,6,7,19,9,7,4,0,2,4,1,0,3,3,1,1,1,3,3,0,0,1,1,0,0,1,0,1],""_type"":""histogram"",""bins"":[-0.0006818644469603896,-0.0006489293518825434,-0.0006159942568046972,-0.000583059161726851,-0.0005501240666490048,-0.0005171889715711586,-0.0004842538764933124,-0.0004513187814154662,-0.00041838368633762,-0.0003854485912597738,-0.0003525134961819276,-0.0003195784011040814,-0.0002866433060262352,-0.000253708210948389,-0.00022077311587054282,-0.00018783802079269662,-0.00015490292571485043,-0.00012196783063700423,-0.00008903273555915803,-0.00005609764048131183,-0.00002316254540346563,0.00000977254967438057,0.00004270764475222677,0.00007564273983007297,0.00010857783490791917,0.00014151292998576537,0.00017444802506361157,0.00020738312014145777,0.00024031821521930397,0.00027325331029715016,0.00030618840537499636,0.00033912350045284256,0.00037205859553068876,0.00040499369060853496,0.00043792878568638116,0.00047086388076422736,0.0005037989758420736,0.0005367340709199198,0.000569669165997766,0.0006026042610756122,0.0006355393561534584,0.0006684744512313046,0.0007014095463091508,0.000734344641386997,0.0007672797364648432,0.0008002148315426894,0.0008331499266205356,0.0008660850216983818,0.000899020116776228,0.0009319552118540742,0.0009648903069319203,0.0009978254020097665,0.0010307604970876127,0.001063695592165459,0.0010966306872433051,0.0011295657823211513,0.0011625008773989975,0.0011954359724768437,0.00122837106755469,0.0012613061626325361,0.0012942412577103823,0.0013271763527882285,0.0013601114478660747,0.001393046542943921,0.0014259816380217671]}"
"28","{""values"":[1,1,1,1,1,3,2,6,2,1,2,6,13,6,15,10,14,18,14,27,44,41,71,85,135,200,313,556,1024,2368,6227,3921,1461,694,376,248,134,109,65,62,36,21,22,18,13,7,5,8,1,4,3,2,2,1,1,2,3,2,0,0,0,1,1,1],""_type"":""histogram"",""bins"":[-0.003136958461254835,-0.0030348574327945244,-0.0029327564043342136,-0.002830655375873903,-0.002728554347413592,-0.0026264533189532813,-0.0025243522904929705,-0.0024222512620326597,-0.002320150233572349,-0.002218049205112038,-0.0021159481766517274,-0.0020138471481914166,-0.0019117461197311059,-0.001809645091270795,-0.0017075440628104843,-0.0016054430343501735,-0.0015033420058898628,-0.001401240977429552,-0.0012991399489692412,-0.0011970389205089305,-0.0010949378920486197,-0.000992836863588309,-0.0008907358351279981,-0.0007886348066676874,-0.0006865337782073766,-0.0005844327497470658,-0.00048233172128675506,-0.0003802306928264443,-0.0002781296643661335,-0.00017602863590582274,-0.00007392760744551197,0.000028173421014798805,0.00013027444947510958,0.00023237547793542035,0.0003344765063957311,0.0004365775348560419,0.0005386785633163527,0.0006407795917766634,0.0007428806202369742,0.000844981648697285,0.0009470826771575958,0.0010491837056179065,0.0011512847340782173,0.001253385762538528,0.0013554867909988388,0.0014575878194591496,0.0015596888479194604,0.0016617898763797712,0.001763890904840082,0.0018659919333003927,0.0019680929617607035,0.0020701939902210142,0.002172295018681325,0.002274396047141636,0.0023764970756019466,0.0024785981040622573,0.002580699132522568,0.002682800160982879,0.0027849011894431897,0.0028870022179035004,0.002989103246363811,0.003091204274824122,0.0031933053032844327,0.0032954063317447435,0.0033975073602050543]}"
"38","{""_type"":""histogram"",""values"":[1,0,0,0,0,6,0,2,8,8,5,9,13,15,12,24,22,38,41,61,73,116,149,195,301,516,953,2122,5564,4466,1564,739,469,298,180,137,76,47,31,25,25,31,22,18,10,9,7,2,3,6,1,3,1,2,0,1,1,1,0,0,1,0,0,2],""bins"":[-0.005542030557990074,-0.0053505469841184095,-0.005159063410246745,-0.00496757983637508,-0.004776096262503415,-0.004584612688631751,-0.004393129114760086,-0.004201645540888421,-0.0040101619670167565,-0.003818678393145092,-0.003627194819273427,-0.0034357112454017624,-0.0032442276715300977,-0.003052744097658433,-0.0028612605237867683,-0.0026697769499151036,-0.002478293376043439,-0.002286809802171774,-0.0020953262283001095,-0.0019038426544284448,-0.00171235908055678,-0.0015208755066851154,-0.0013293919328134507,-0.001137908358941786,-0.0009464247850701213,-0.0007549412111984566,-0.0005634576373267919,-0.0003719740634551272,-0.00018049048958346248,0.000010993084288202226,0.00020247665815986693,0.00039396023203153163,0.0005854438059031963,0.000776927379774861,0.0009684109536465257,0.0011598945275181904,0.0013513781013898551,0.0015428616752615198,0.0017343452491331846,0.0019258288230048493,0.002117312396876514,0.0023087959707481787,0.0025002795446198434,0.002691763118491508,0.0028832466923631728,0.0030747302662348375,0.003266213840106502,0.003457697413978167,0.0036491809878498316,0.0038406645617214963,0.004032148135593161,0.004223631709464826,0.00441511528333649,0.004606598857208155,0.00479808243107982,0.0049895660049514845,0.005181049578823149,0.005372533152694814,0.005564016726566479,0.005755500300438143,0.005946983874309808,0.006138467448181473,0.006329951022053137,0.006521434595924802,0.006712918169796467]}"
"47","{""values"":[1,0,2,2,2,1,4,3,5,1,2,2,0,7,8,5,9,4,15,12,20,15,11,28,36,58,74,116,162,261,357,649,1277,3059,5210,2831,1493,875,565,375,230,153,119,83,57,58,35,25,26,17,17,18,9,7,5,0,4,0,4,0,5,1,1,1],""_type"":""histogram"",""bins"":[-0.005462214350700378,-0.005303348625602666,-0.005144482900504954,-0.004985617175407242,-0.00482675145030953,-0.004667885725211818,-0.004509020000114106,-0.0043501542750163935,-0.004191288549918681,-0.004032422824820969,-0.003873557099723257,-0.003714691374625545,-0.003555825649527833,-0.0033969599244301207,-0.0032380941993324086,-0.0030792284742346965,-0.0029203627491369843,-0.0027614970240392722,-0.00260263129894156,-0.002443765573843848,-0.002284899848746136,-0.0021260341236484237,-0.0019671683985507116,-0.0018083026734529994,-0.0016494369483552873,-0.0014905712232575752,-0.001331705498159863,-0.001172839773062151,-0.0010139740479644388,-0.0008551083228667267,-0.0006962425977690145,-0.0005373768726713024,-0.0003785111475735903,-0.00021964542247587815,-0.00006077969737816602,0.00009808602771954611,0.00025695175281725824,0.00041581747791497037,0.0005746832030126825,0.0007335489281103946,0.0008924146532081068,0.0010512803783058189,0.001210146103403531,0.0013690118285012431,0.0015278775535989553,0.0016867432786966674,0.0018456090037943795,0.0020044747288920917,0.002163340453989804,0.002322206179087516,0.002481071904185228,0.00263993762928294,0.0027988033543806523,0.0029576690794783644,0.0031165348045760766,0.0032754005296737887,0.003434266254771501,0.003593131979869213,0.003751997704966925,0.003910863430064637,0.004069729155162349,0.0042285948802600615,0.004387460605357774,0.004546326330455486,0.004705192055553198]}"
"56","{""_type"":""histogram"",""values"":[3,0,1,3,1,2,3,6,8,8,14,6,17,16,32,35,40,52,64,86,139,201,296,360,569,879,1549,3315,5287,2636,1144,587,319,197,139,100,69,43,35,33,28,18,16,14,12,9,6,4,5,2,2,1,3,2,3,2,3,4,1,2,0,0,0,1],""bins"":[-0.0065925028175115585,-0.006360918137943372,-0.006129333458375186,-0.005897748778806999,-0.005666164099238813,-0.0054345794196706265,-0.00520299474010244,-0.004971410060534254,-0.004739825380966067,-0.004508240701397881,-0.0042766560218296945,-0.004045071342261508,-0.0038134866626933217,-0.0035819019831251353,-0.003350317303556949,-0.0031187326239887625,-0.002887147944420576,-0.0026555632648523897,-0.0024239785852842033,-0.002192393905716017,-0.0019608092261478305,-0.001729224546579644,-0.0014976398670114577,-0.0012660551874432713,-0.0010344705078750849,-0.0008028858283068985,-0.0005713011487387121,-0.00033971646917052567,-0.00010813178960233927,0.00012345288996584713,0.00035503756953403354,0.0005866222491022199,0.0008182069286704063,0.0010497916082385927,0.0012813762878067791,0.0015129609673749655,0.001744545646943152,0.0019761303265113384,0.0022077150060795248,0.002439299685647711,0.0026708843652158976,0.002902469044784084,0.0031340537243522704,0.0033656384039204568,0.003597223083488643,0.0038288077630568296,0.004060392442625016,0.004291977122193202,0.004523561801761389,0.004755146481329575,0.004986731160897762,0.005218315840465948,0.005449900520034134,0.005681485199602321,0.005913069879170507,0.006144654558738694,0.00637623923830688,0.006607823917875066,0.006839408597443253,0.007070993277011439,0.007302577956579626,0.007534162636147812,0.007765747315715998,0.007997331995284185,0.008228916674852371]}"
"65","{""values"":[1,0,0,0,0,0,2,0,1,5,2,9,10,3,8,12,27,20,37,39,68,104,156,255,437,792,1763,3827,5627,2619,1174,621,313,173,111,51,39,20,23,13,13,22,7,6,6,5,1,1,0,1,3,1,0,0,1,0,0,0,0,0,0,1,1,1],""_type"":""histogram"",""bins"":[-0.008129742927849293,-0.007843169631087221,-0.00755659633432515,-0.007270023037563078,-0.0069834497408010066,-0.006696876444038935,-0.0064103031472768635,-0.006123729850514792,-0.00583715655375272,-0.005550583256990649,-0.005264009960228577,-0.004977436663466506,-0.004690863366704434,-0.004404290069942363,-0.004117716773180291,-0.0038311434764182195,-0.003544570179656148,-0.0032579968828940764,-0.002971423586132005,-0.0026848502893699333,-0.0023982769926078618,-0.00211170369584579,-0.0018251303990837187,-0.001538557102321647,-0.0012519838055595756,-0.000965410508797504,-0.0006788372120354325,-0.0003922639152733609,-0.00010569061851128936,0.0001808826782507822,0.00046745597501285374,0.0007540292717749253,0.0010406025685369968,0.0013271758652990684,0.00161374916206114,0.0019003224588232115,0.002186895755585283,0.0024734690523473546,0.002760042349109426,0.0030466156458714977,0.0033331889426335692,0.003619762239395641,0.003906335536157712,0.004192908832919784,0.0044794821296818554,0.004766055426443927,0.0050526287232059985,0.00533920201996807,0.005625775316730142,0.005912348613492213,0.006198921910254285,0.006485495207016356,0.006772068503778428,0.007058641800540499,0.007345215097302571,0.0076317883940646425,0.007918361690826714,0.008204934987588786,0.008491508284350857,0.008778081581112929,0.009064654877875,0.009351228174637072,0.009637801471399143,0.009924374768161215,0.010210948064923286]}"
"75","{""_type"":""histogram"",""values"":[1,0,0,0,2,2,1,1,2,2,4,3,3,4,6,11,6,19,14,22,35,43,51,82,107,156,247,331,578,799,1278,2282,3638,2904,1794,1140,833,574,434,286,200,134,105,76,68,43,37,24,16,11,4,4,4,4,3,0,0,0,0,0,1,0,2,1],""bins"":[-0.005680928006768227,-0.005506770816282369,-0.005332613625796512,-0.005158456435310654,-0.004984299244824797,-0.0048101420543389395,-0.004635984863853082,-0.004461827673367225,-0.004287670482881367,-0.00411351329239551,-0.003939356101909652,-0.003765198911423795,-0.0035910417209379375,-0.00341688453045208,-0.0032427273399662226,-0.003068570149480365,-0.002894412958994508,-0.0027202557685086504,-0.002546098578022793,-0.0023719413875369355,-0.002197784197051078,-0.0020236270065652207,-0.0018494698160793632,-0.0016753126255935058,-0.0015011554351076484,-0.001326998244621791,-0.0011528410541359335,-0.000978683863650076,-0.0008045266731642187,-0.0006303694826783612,-0.0004562122921925038,-0.0002820551017066464,-0.00010789791122078896,0.00006625927926506847,0.0002404164697509259,0.0004145736602367833,0.0005887308507226408,0.0007628880412084982,0.0009370452316943556,0.001111202422180213,0.0012853596126660705,0.0014595168031519279,0.0016336739936377853,0.0018078311841236427,0.0019819883746095,0.0021561455650953576,0.002330302755581215,0.0025044599460670725,0.00267861713655293,0.0028527743270387873,0.0030269315175246447,0.003201088708010502,0.0033752458984963596,0.003549403088982217,0.0037235602794680744,0.003897717469953932,0.004071874660439789,0.004246031850925647,0.004420189041411504,0.004594346231897362,0.004768503422383219,0.004942660612869076,0.005116817803354934,0.005290974993840791,0.005465132184326649]}"
"84","{""_type"":""histogram"",""values"":[1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,5,4,10,13,20,27,53,60,77,158,252,413,704,1360,2765,5106,3403,1731,921,521,302,173,89,76,56,29,29,18,11,11,12,2,3,1,1,3,3,1],""bins"":[-0.012054824270308018,-0.011765485840442125,-0.011476147410576232,-0.011186808980710339,-0.010897470550844446,-0.010608132120978553,-0.01031879369111266,-0.010029455261246767,-0.009740116831380874,-0.009450778401514981,-0.009161439971649088,-0.008872101541783195,-0.008582763111917302,-0.008293424682051409,-0.008004086252185516,-0.007714747822319623,-0.00742540939245373,-0.007136070962587837,-0.006846732532721944,-0.006557394102856051,-0.006268055672990158,-0.005978717243124265,-0.005689378813258372,-0.005400040383392479,-0.005110701953526586,-0.004821363523660693,-0.0045320250937948,-0.004242686663928907,-0.003953348234063014,-0.0036640098041971214,-0.0033746713743312284,-0.0030853329444653355,-0.0027959945145994425,-0.0025066560847335495,-0.0022173176548676565,-0.0019279792250017636,-0.0016386407951358706,-0.0013493023652699776,-0.0010599639354040846,-0.0007706255055381916,-0.00048128707567229867,-0.0001919486458064057,0.00009738978405948728,0.00038672821392538026,0.0006760666437912732,0.0009654050736571662,0.0012547435035230592,0.0015440819333889522,0.0018334203632548451,0.002122758793120738,0.002412097222986631,0.002701435652852524,0.002990774082718417,0.00328011251258431,0.003569450942450203,0.003858789372316096,0.004148127802181989,0.004437466232047882,0.004726804661913775,0.005016143091779668,0.005305481521645561,0.005594819951511454,0.005884158381377347,0.00617349681124324,0.006462835241109133]}"
"93","{""values"":[1,0,2,1,3,8,2,6,6,4,7,16,23,28,34,62,72,94,121,163,203,314,431,687,855,1179,1689,2436,2844,2277,1452,976,662,448,357,265,172,155,94,49,51,37,28,25,18,17,6,8,5,7,7,7,4,3,3,4,1,0,1,0,0,0,1,1],""_type"":""histogram"",""bins"":[-0.006669037044048309,-0.006434843337046914,-0.006200649630045518,-0.005966455923044123,-0.005732262216042727,-0.005498068509041332,-0.005263874802039936,-0.005029681095038541,-0.004795487388037145,-0.00456129368103575,-0.004327099974034354,-0.004092906267032959,-0.003858712560031563,-0.0036245188530301675,-0.003390325146028772,-0.0031561314390273765,-0.002921937732025981,-0.0026877440250245854,-0.00245355031802319,-0.0022193566110217944,-0.001985162904020399,-0.0017509691970190033,-0.0015167754900176078,-0.0012825817830162123,-0.0010483880760148168,-0.0008141943690134212,-0.0005800006620120257,-0.0003458069550106302,-0.00011161324800923467,0.00012258045899216086,0.0003567741659935564,0.0005909678729949519,0.0008251615799963474,0.001059355286997743,0.0012935489939991385,0.001527742701000534,0.0017619364080019295,0.001996130115003325,0.0022303238220047206,0.002464517529006116,0.0026987112360075116,0.002932904943008907,0.0031670986500103027,0.003401292357011698,0.0036354860640130937,0.0038696797710144892,0.004103873478015885,0.00433806718501728,0.004572260892018676,0.004806454599020071,0.005040648306021467,0.005274842013022862,0.005509035720024258,0.005743229427025653,0.005977423134027049,0.0062116168410284445,0.00644581054802984,0.0066800042550312355,0.006914197962032631,0.0071483916690340266,0.007382585376035422,0.007616779083036818,0.007850972790038213,0.008085166497039609,0.008319360204041004]}"
